time_percent,total_time_ns,instances,average_ns,median_ns,min_ns,max_ns,stddev_ns,kernel
37.4,725475680,64,11335557.5,11327392.0,11102080,11524448,90996.4,q3x_sm87_a4w4_gateup_down_k512_edge_m64n128_k256_ldmatrix_pairfeed_kernel
15.1,292412832,64,4568950.5,4581792.0,4493152,4607616,29692.7,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_l2_macro4x4_kernel
12.2,236951296,48,4936485.3,4933968.0,4910656,4983840,15117.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_l2_macro4x4_linear_kernel
6.1,117297120,64,1832767.5,1832256.0,1823968,1851040,4837.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_l2_macro4x4_o_kernel
3.6,69580480,16,4348780.0,4350432.0,4315648,4382048,18425.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_l2_macro4x4_full_kernel
3.4,65353600,128,510575.0,506608.0,499552,529792,9055.4,residual_add_kernel
3.3,63028192,192,328271.8,360752.0,226752,365440,58018.0,gdn_chunk_o_bv64_kernel
2.8,54043904,192,281478.7,304928.0,198816,320928,46571.5,gdn_persistent_state_chunk64_vllm_faithful_kernel
2.7,51837920,129,401844.3,404576.0,21152,411904,33853.4,headwise_rms_norm_kernel
1.8,35512832,192,184962.7,202240.0,129280,207808,31874.4,gdn_causal_conv1d_silu_update_token_parallel_compact_qk_kernel
1.8,34639232,192,180412.7,196656.0,124960,203936,30018.9,gdn_value_head_recompute_chunk64_kernel
1.7,32582304,64,509098.5,553088.0,194432,745632,205401.3,flashinfer_SinglePrefillWithKVCacheKernel
1.5,28898816,192,150514.7,163904.0,105440,168736,24792.3,gdn_value_head_solve_chunk64_kernel
1.5,28534336,128,222924.5,223616.0,201376,245568,20711.3,q3x_sm87_a4_quantize_bf16_k256_kernel
1.3,24362240,192,126886.7,139344.0,86880,143008,22401.9,gdn_rms_norm_silu_rows8_kernel
1.0,20175968,64,315249.5,315264.0,314048,316832,611.8,q3x_sm87_a4_quantize_bf16_k512_kernel
0.7,13603584,64,212556.0,233664.0,145856,238624,38257.0,full_attention_preprocess_prompt_wide_128_kernel
0.5,9983360,64,155990.0,171632.0,105824,174976,28628.6,bulk_gqa_flashinfer_sigmoid_gate_kernel
0.4,7148768,48,148932.7,148784.0,146400,152224,1265.4,bf16_ab_prefill_m64_n96_k64_kernel
0.3,6747232,144,46855.8,46112.0,44704,54912,1949.3,bf16_gemv_pair_m16_projection_fused_kernel
