rank,kernel,calls,total_ms,share_percent
1,gateup_down_k512_edge_m64n128,64,773.338848,34.7
2,down_k512_macrocell_m128n128,64,513.211328,23.0
3,attention_k256_m128n256_topology_0,48,249.511072,11.2
4,attention_o_k256_m128n256,64,124.466080,5.6
5,attention_k256_m128n256_topology_1,16,73.346752,3.3
6,residual_add,128,65.066304,2.9
7,gdn_chunk_o_bv64,192,63.042144,2.8
8,gdn_persistent_state_chunk64,192,54.047168,2.4
9,headwise_rms_norm,129,51.769056,2.3
10,gdn_conv_token_parallel_compact_qk,192,35.381056,1.6
11,gdn_value_head_recompute_chunk64,192,34.405152,1.5
12,FlashInfer_SinglePrefillWithKVCache,64,32.534016,1.5
13,gdn_value_head_solve_chunk64,192,28.724224,1.3
14,a4_quantize_bf16_k256,128,28.538848,1.3
15,gdn_rms_norm_silu_rows8,192,24.038144,1.1
16,a4_quantize_bf16_k512,64,20.144384,0.9
17,full_attention_preprocess_prompt_wide_128,64,13.632608,0.6
18,bulk_gqa_flashinfer_sigmoid_gate,64,9.982016,0.4
19,bf16_ab_prefill_m64_n96_k64,48,7.150272,0.3
20,bf16_gemv_pair_m16_projection_fused,144,6.696608,0.3
