time_percent,total_time_ns,instances,average_ns,median_ns,min_ns,max_ns,stddev_ns,kernel
37.3,719463808,64,11241622.0,11244976.0,11002592,11377792,76272.3,q3x_sm87_a4w4_gateup_down_k512_edge_m64n128_k256_ldmatrix_pairfeed_kernel
14.9,288037568,64,4500587.0,4498384.0,4473536,4545504,15035.0,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_kernel
12.3,237324128,48,4944252.7,4943408.0,4931232,4961984,6348.0,q3x_sm87_a4w4_attention_k256_m128n128_a_exchange_b3_linear_kernel
6.2,119390816,64,1865481.5,1865440.0,1860224,1872352,2555.8,q3x_sm87_a4w4_attention_k256_m128n128_a_exchange_b3_o_kernel
3.6,68978624,16,4311164.0,4310640.0,4301568,4328320,7606.4,q3x_sm87_a4w4_attention_k256_m128n128_a_exchange_b3_full_kernel
3.4,65453152,128,511352.8,507648.0,501856,529664,8468.0,residual_add_kernel
3.3,63272768,192,329545.7,362656.0,227328,365824,58522.5,gdn_chunk_o_bv64_kernel
2.8,54096992,192,281755.2,305536.0,198912,317856,46636.7,gdn_persistent_state_chunk64_vllm_faithful_kernel
2.7,51800544,129,401554.6,404704.0,20896,408608,33817.9,headwise_rms_norm_kernel
1.8,35641024,192,185630.3,203184.0,129504,207584,32141.7,gdn_causal_conv1d_silu_update_token_parallel_compact_qk_kernel
1.8,34583840,192,180124.2,196576.0,124608,203264,30625.0,gdn_value_head_recompute_chunk64_kernel
1.7,32599104,64,509361.0,550976.0,194784,745472,205420.3,flashinfer_SinglePrefillWithKVCacheKernel
1.5,28859712,192,150311.0,164464.0,103584,170208,25642.6,gdn_value_head_solve_chunk64_kernel
1.5,28538464,128,222956.8,223600.0,201440,245056,20517.6,q3x_sm87_a4_quantize_bf16_k256_kernel
1.3,24260352,192,126356.0,138864.0,86560,141760,22462.9,gdn_rms_norm_silu_rows8_kernel
1.0,20179104,64,315298.5,315328.0,313696,316960,786.4,q3x_sm87_a4_quantize_bf16_k512_kernel
0.7,13684192,64,213815.5,235632.0,146368,237664,38732.7,full_attention_preprocess_prompt_wide_128_kernel
0.5,10157184,64,158706.0,174784.0,108608,177088,28642.7,bulk_gqa_flashinfer_sigmoid_gate_kernel
0.4,7123328,48,148402.7,148304.0,146208,152384,1230.5,bf16_ab_prefill_m64_n96_k64_kernel
0.4,6762432,144,46961.3,46112.0,44640,54208,2145.9,bf16_gemv_pair_m16_projection_fused_kernel
