Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.4,782915040,64,12233047.5,12239312.0,12133824,12264768,24676.3,q3x_sm87_a4w4_gateup_factorized_r4_m64n64_2cta_kernel
20.9,463565760,64,7243215.0,7189520.0,7087136,7902240,180931.9,q3x_sm87_a4w4_down_factorized_r4_m128n64_kernel
10.3,228902432,48,4768800.7,4773616.0,4713952,4856416,31767.9,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
4.9,108633504,64,1697398.5,1696480.0,1690496,1710368,4654.3,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
3.0,66725728,16,4170358.0,4170368.0,4134656,4201632,16086.9,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
3.0,66007744,128,515685.5,513792.0,504000,533280,6905.1,"q3x::runtime::<unnamed>::residual_add_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)"
2.9,63596576,64,993696.5,993712.0,991808,994624,588.3,q3x_sm87_a4w4_factorized_lane_quantize_split_kernel
2.9,63148128,192,328896.5,361696.0,226976,365760,57973.9,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::chunk_o_bv64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const float *, unsigned short *)"
2.5,54390432,192,283283.5,307392.0,201056,321664,46482.8,"void q3x::runtime::gdn_prefill_chunk64_reference_detail::<unnamed>::persistent_state_chunk64_vllm_faithful_kernel<(bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, const float *, const unsigned short *, unsigned short *, unsigned int, unsigned short *, unsigned short *, unsigned short *, unsigned short *)"
2.3,51995072,129,403062.6,405952.0,21088,411008,33939.5,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)"
1.6,35796288,192,186439.0,205104.0,128416,207488,33123.9,"q3x::runtime::gdn_prefill_whole_span_conv_detail::<unnamed>::causal_conv1d_silu_update_token_parallel_compact_qk_kernel(const unsigned short *, unsigned int, const unsigned short *, unsigned short *, unsigned short *, float, unsigned short *, unsigned short *)"
1.6,34479296,192,179579.7,196400.0,121568,205664,31994.4,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_recompute_chunk64_kernel(const unsigned short *, const float *, const unsigned short *, unsigned int, unsigned int, const unsigned short *, unsigned short *, unsigned short *)"
1.5,32498112,64,507783.0,548976.0,191616,746752,205911.3,"void flashinfer::SinglePrefillWithKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)2, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::SinglePrefillParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16>>(T2)"
1.3,28869568,192,150362.3,164336.0,103744,168896,25416.0,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_solve_chunk64_kernel(const float *, const float *, const float *, unsigned int, unsigned short *)"
1.3,28588224,128,223345.5,223744.0,202208,244544,20257.2,q3x_sm87_a4_quantize_bf16_k256_kernel
1.1,24187776,192,125978.0,138304.0,86208,141920,22327.1,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::rms_norm_silu_rows8_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, float, unsigned short *)"
1.0,22746208,64,355409.5,355328.0,352576,358848,1356.1,q3x_sm87_a4w4_factorized_lane_quantize_contiguous_kernel
0.6,13635968,64,213062.0,234272.0,145728,239648,38839.2,"q3x::runtime::<unnamed>::full_attention_preprocess_prompt_wide_128_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)"
0.5,9980000,64,155937.5,171440.0,106784,175808,28076.7,"q3x::runtime::<unnamed>::bulk_gqa_flashinfer_sigmoid_gate_kernel(const unsigned short *, unsigned long, unsigned short *)"
0.3,7157376,48,149112.0,149120.0,146592,151872,1194.7,"q3x::kernels::<unnamed>::bf16_ab_prefill_m64_n96_k64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
