Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.8,860028928,64,13437952.0,13461184.0,13212992,13532416,68256.2,q3x_sm87_a4w4_gateup_factorized_r4_m128n64_kernel
17.6,390843168,64,6106924.5,6106832.0,6102080,6112704,2286.1,q3x_sm87_a4w4_down_factorized_r4_m192n128_kernel
10.3,228500192,48,4760420.7,4763776.0,4704736,4829568,34105.7,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
4.9,109215488,64,1706492.0,1705376.0,1694304,1725920,6698.2,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
3.0,66647968,16,4165498.0,4159488.0,4133312,4204896,22907.8,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
3.0,66078272,128,516236.5,516272.0,501888,533088,8050.2,"q3x::runtime::<unnamed>::residual_add_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)"
2.9,63630560,64,994227.5,994192.0,992320,997280,815.8,q3x_sm87_a4w4_factorized_lane_quantize_split_kernel
2.8,63216928,192,329254.8,362416.0,226176,369952,58891.2,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::chunk_o_bv64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const float *, unsigned short *)"
2.4,54266208,192,282636.5,306016.0,197792,325152,46817.2,"void q3x::runtime::gdn_prefill_chunk64_reference_detail::<unnamed>::persistent_state_chunk64_vllm_faithful_kernel<(bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, const float *, const unsigned short *, unsigned short *, unsigned int, unsigned short *, unsigned short *, unsigned short *, unsigned short *)"
2.3,52130400,129,404111.6,406496.0,21056,415360,34106.2,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)"
1.6,35909792,192,187030.2,205152.0,128288,210848,32933.0,"q3x::runtime::gdn_prefill_whole_span_conv_detail::<unnamed>::causal_conv1d_silu_update_token_parallel_compact_qk_kernel(const unsigned short *, unsigned int, const unsigned short *, unsigned short *, unsigned short *, float, unsigned short *, unsigned short *)"
1.6,34468416,192,179523.0,195936.0,124384,202720,30447.1,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_recompute_chunk64_kernel(const unsigned short *, const float *, const unsigned short *, unsigned int, unsigned int, const unsigned short *, unsigned short *, unsigned short *)"
1.5,32548736,64,508574.0,550528.0,192768,746496,205297.8,"void flashinfer::SinglePrefillWithKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)2, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::SinglePrefillParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16>>(T2)"
1.3,28922304,192,150637.0,164912.0,104544,168672,25749.0,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_solve_chunk64_kernel(const float *, const float *, const float *, unsigned int, unsigned short *)"
1.3,28643072,128,223774.0,224176.0,202496,246048,20331.0,q3x_sm87_a4_quantize_bf16_k256_kernel
1.1,24326240,192,126699.2,138752.0,86816,145184,22472.7,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::rms_norm_silu_rows8_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, float, unsigned short *)"
1.0,22793184,64,356143.5,356288.0,353568,358912,1255.3,q3x_sm87_a4w4_factorized_lane_quantize_contiguous_kernel
0.6,13736832,64,214638.0,235168.0,146784,243168,38670.8,"q3x::runtime::<unnamed>::full_attention_preprocess_prompt_wide_128_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)"
0.5,10040960,64,156890.0,171776.0,106304,178688,28674.4,"q3x::runtime::<unnamed>::bulk_gqa_flashinfer_sigmoid_gate_kernel(const unsigned short *, unsigned long, unsigned short *)"
0.3,7129056,48,148522.0,148368.0,145376,151520,1382.7,"q3x::kernels::<unnamed>::bf16_ab_prefill_m64_n96_k64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
