Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.5,661957600,128,5171543.8,5137472.0,2964224,7452672,2170058.7,q3x_sm87_a4w4_gateup_k512_m128n64_same_cta_kernel
15.0,288091168,64,4501424.5,4500480.0,4462080,4556384,19397.9,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_kernel
11.9,228804704,48,4766764.7,4765776.0,4712832,4842880,32130.2,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
5.7,108972800,64,1702700.0,1701456.0,1696480,1716960,4609.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
3.5,67121088,64,1048767.0,1048768.0,1047872,1049728,387.3,q3x_sm87_a4_quantize_bf16_k512_split_kernel
3.5,66713440,16,4169590.0,4167488.0,4142336,4210656,18572.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
3.4,65700832,128,513287.8,513744.0,501248,529696,7649.8,"q3x::runtime::<unnamed>::residual_add_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)"
3.3,63116224,192,328730.3,361728.0,226624,366112,58367.2,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::chunk_o_bv64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const float *, unsigned short *)"
2.8,53996576,192,281232.2,305104.0,197984,319392,46695.4,"void q3x::runtime::gdn_prefill_chunk64_reference_detail::<unnamed>::persistent_state_chunk64_vllm_faithful_kernel<(bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, const float *, const unsigned short *, unsigned short *, unsigned int, unsigned short *, unsigned short *, unsigned short *, unsigned short *)"
2.7,51803616,129,401578.4,404352.0,21472,409728,33758.5,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)"
1.9,35632704,192,185587.0,203856.0,128448,206720,32573.9,"q3x::runtime::gdn_prefill_whole_span_conv_detail::<unnamed>::causal_conv1d_silu_update_token_parallel_compact_qk_kernel(const unsigned short *, unsigned int, const unsigned short *, unsigned short *, unsigned short *, float, unsigned short *, unsigned short *)"
1.8,34507264,192,179725.3,195472.0,125696,202144,29842.0,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_recompute_chunk64_kernel(const unsigned short *, const float *, const unsigned short *, unsigned int, unsigned int, const unsigned short *, unsigned short *, unsigned short *)"
1.7,32505984,64,507906.0,549616.0,191520,744960,205780.9,"void flashinfer::SinglePrefillWithKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)2, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::SinglePrefillParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16>>(T2)"
1.5,29176672,192,151961.8,166704.0,104192,171968,26528.5,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_solve_chunk64_kernel(const float *, const float *, const float *, unsigned int, unsigned short *)"
1.5,28563840,128,223155.0,223600.0,202016,244608,20211.0,q3x_sm87_a4_quantize_bf16_k256_kernel
1.3,24221568,192,126154.0,138656.0,86336,141120,22510.7,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::rms_norm_silu_rows8_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, float, unsigned short *)"
1.1,20139296,64,314676.5,314624.0,313408,316128,624.8,q3x_sm87_a4_quantize_bf16_k512_kernel
0.7,13678272,64,213723.0,234912.0,146176,239584,39017.4,"q3x::runtime::<unnamed>::full_attention_preprocess_prompt_wide_128_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)"
0.5,9980864,64,155951.0,171920.0,104928,175424,29348.4,"q3x::runtime::<unnamed>::bulk_gqa_flashinfer_sigmoid_gate_kernel(const unsigned short *, unsigned long, unsigned short *)"
0.4,7127936,48,148498.7,148336.0,146912,153120,1217.4,"q3x::kernels::<unnamed>::bf16_ab_prefill_m64_n96_k64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
