Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
42.0,860422624,64,13444103.5,13455264.0,13325344,13507488,33679.4,q3x_sm87_a4w4_gateup_down_k512_edge_m32n512_owner_kernel
14.0,286829728,64,4481714.5,4479856.0,4452160,4531840,15188.6,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_kernel
11.2,228743712,48,4765494.0,4766832.0,4711872,4839488,33050.0,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
5.3,108991552,64,1702993.0,1701568.0,1694144,1715712,5009.5,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
3.3,66631360,16,4164460.0,4163424.0,4142112,4213696,17982.2,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
3.2,65281344,128,510010.5,506848.0,499104,528096,8943.4,"q3x::runtime::<unnamed>::residual_add_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)"
3.1,63258624,192,329472.0,362512.0,227104,366048,58441.9,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::chunk_o_bv64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const float *, unsigned short *)"
2.6,54241984,192,282510.3,305824.0,199744,321728,46310.1,"void q3x::runtime::gdn_prefill_chunk64_reference_detail::<unnamed>::persistent_state_chunk64_vllm_faithful_kernel<(bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, const float *, const unsigned short *, unsigned short *, unsigned int, unsigned short *, unsigned short *, unsigned short *, unsigned short *)"
2.5,51814592,129,401663.5,404384.0,21088,410016,33811.2,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)"
1.7,35538688,192,185097.3,203232.0,129152,206336,32025.0,"q3x::runtime::gdn_prefill_whole_span_conv_detail::<unnamed>::causal_conv1d_silu_update_token_parallel_compact_qk_kernel(const unsigned short *, unsigned int, const unsigned short *, unsigned short *, unsigned short *, float, unsigned short *, unsigned short *)"
1.7,34373376,192,179028.0,195712.0,122400,204416,30970.5,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_recompute_chunk64_kernel(const unsigned short *, const float *, const unsigned short *, unsigned int, unsigned int, const unsigned short *, unsigned short *, unsigned short *)"
1.6,32493504,64,507711.0,550256.0,191552,744640,205860.4,"void flashinfer::SinglePrefillWithKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)2, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::SinglePrefillParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16>>(T2)"
1.4,28679040,192,149370.0,163120.0,104096,168704,24883.9,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_solve_chunk64_kernel(const float *, const float *, const float *, unsigned int, unsigned short *)"
1.4,28546624,128,223020.5,223440.0,201504,244992,20519.9,q3x_sm87_a4_quantize_bf16_k256_kernel
1.2,24241120,192,126255.8,138528.0,87040,141312,22202.8,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::rms_norm_silu_rows8_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, float, unsigned short *)"
1.0,20149248,64,314832.0,314864.0,313504,316288,534.6,q3x_sm87_a4_quantize_bf16_k512_kernel
0.7,13614944,64,212733.5,233856.0,145664,237888,38531.5,"q3x::runtime::<unnamed>::full_attention_preprocess_prompt_wide_128_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)"
0.5,10001600,64,156275.0,172128.0,106720,175200,28358.7,"q3x::runtime::<unnamed>::bulk_gqa_flashinfer_sigmoid_gate_kernel(const unsigned short *, unsigned long, unsigned short *)"
0.3,7146080,48,148876.7,148656.0,145120,153056,1576.8,"q3x::kernels::<unnamed>::bf16_ab_prefill_m64_n96_k64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
0.3,6722880,144,46686.7,46144.0,44512,53248,1964.7,"q3x::kernels::<unnamed>::bf16_gemv_pair_m16_projection_fused_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
