rank,kernel,calls,total_ms,share_percent
1,q3x_sm87_a4w4_gateup_k512_m64n128_register_pipeline_kernel,64,1433.636416,54.8
2,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_kernel,64,285.497888,10.9
3,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel,48,228.718720,8.7
4,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel,64,108.769632,4.2
5,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel,16,66.820352,2.6
6,residual_add_kernel,128,64.092896,2.5
7,chunk_o_bv64_kernel,192,63.095616,2.4
8,persistent_state_chunk64_vllm_faithful_kernel,192,54.266880,2.1
9,headwise_rms_norm_kernel,129,50.673344,1.9
10,causal_conv1d_silu_update_token_parallel_compact_qk_kernel,192,34.597120,1.3
11,value_head_recompute_chunk64_kernel,192,34.351328,1.3
12,flashinfer_SinglePrefillWithKVCacheKernel,64,32.539584,1.2
13,value_head_solve_chunk64_kernel,192,28.803296,1.1
14,q3x_sm87_a4_quantize_bf16_k256_kernel,128,28.529216,1.1
15,rms_norm_silu_rows8_kernel,192,23.666016,0.9
16,q3x_sm87_a4_quantize_bf16_k512_kernel,64,20.140672,0.8
17,full_attention_preprocess_prompt_wide_128_kernel,64,13.414656,0.5
18,bulk_gqa_flashinfer_sigmoid_gate_kernel,64,9.786464,0.4
19,bf16_ab_prefill_m64_n96_k64_kernel,48,7.141504,0.3
20,bf16_gemv_pair_m16_projection_fused_kernel,144,6.742432,0.3
