rank,total_ms,calls,share_percent,kernel
1,1184.924096,64,49.961,q3x_sm87_a4w4_gateup_k512_m64n8_paired_warp_register_pipeline_kernel
2,287.046656,64,12.103,q3x_sm87_a4w4_down_k512_m128n128_16warp_pairring_kernel
3,229.386464,48,9.672,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
4,108.921568,64,4.593,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
5,66.728192,16,2.814,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
6,65.244928,128,2.751,residual_add_kernel
7,63.178240,192,2.664,chunk_o_bv64_kernel
8,54.038816,192,2.279,persistent_state_chunk64_vllm_faithful_kernel
9,51.288032,129,2.163,headwise_rms_norm_kernel
10,34.878912,192,1.471,causal_conv1d_silu_update_token_parallel_compact_qk_kernel
11,34.437088,192,1.452,value_head_recompute_chunk64_kernel
12,32.603776,64,1.375,FlashInfer_SinglePrefillWithKVCacheKernel
13,29.099328,192,1.227,value_head_solve_chunk64_kernel
14,28.773632,128,1.213,q3x_sm87_a4_quantize_bf16_k256_kernel
15,24.203776,192,1.021,rms_norm_silu_rows8_kernel
16,20.163808,64,0.850,q3x_sm87_a4_quantize_bf16_k512_kernel
17,13.537344,64,0.571,full_attention_preprocess_prompt_wide_128_kernel
18,9.970112,64,0.420,bulk_gqa_flashinfer_sigmoid_gate_kernel
19,7.126784,48,0.300,bf16_ab_prefill_m64_n96_k64_kernel
20,6.773088,144,0.286,bf16_gemv_pair_m16_projection_fused_kernel
