rank,short_name,call_count,total_time_ms,average_time_us,max_time_us
1,Marlin_FE2M1_NVFP4,128,666.476800,5206.850,7040.192
2,Marlin_FE4M3_FP8,208,332.032736,1596.311,2908.256
3,persistent_state_chunk64_resident_kernel,48,49.340352,1027.924,1043.648
4,reconstruct_norm_gate_chunk64_kernel,48,43.263936,901.332,903.936
5,nvfp4_w4a16_m1_gate_up_composite,64,38.662304,604.099,777.344
6,gqa_group_wy_chunk64_kernel,48,35.901696,747.952,768.352
7,merged_gate_up_silu_kernel,64,26.593504,415.524,416.672
8,fp8_qkv_z_bf16_ab_m1_tail,48,23.391712,487.327,555.328
9,residual_add_headwise_centered_rms_norm_prefill_5120_kernel,128,19.325376,150.980,154.336
10,nvfp4_down_m1_scale6,53,16.767040,316.359,365.120
11,fp8_row_quad_m1,64,11.515264,179.926,186.368
12,qk_scaled_group_chunk64_kernel,48,9.236896,192.435,193.824
13,causal_conv1d_silu_update_token_parallel_kernel,48,8.219712,171.244,172.224
14,fp8_q_kv_m1_reduction,16,6.895104,430.944,445.024
15,normalize_qk_kernel,48,5.032480,104.843,105.312
16,bf16_ab_prefill_m64_n96_k64_kernel,48,3.760960,78.353,80.672
17,full_attention_preprocess_prompt_wide_128_kernel,16,3.723552,232.722,234.624
18,nvfp4_down_m1_fallback,11,3.545056,322.278,388.928
19,SinglePrefillWithKVCacheKernel,16,3.150144,196.884,202.048
20,bulk_gqa_flashinfer_sigmoid_gate_kernel,16,2.718240,169.890,170.816
