metric,native_qkv,vllm_merged_qkvz,unit
work_shape,M512N10240K5120,M512N16384K5120,
duration,3.47,3.86,ms
grid_blocks,320,16,blocks
threads_per_block,256,256,threads
logical_tile,M128N128K64,M64N256K64,
async_stages,3,4,stages
registers_per_thread,128,255,registers
dynamic_shared_memory,79872,166912,bytes_per_block
achieved_occupancy,32.96,16.67,percent
active_warps_per_sm,15.82,8.00,warps
tensor_pipe_active,36.78,53.74,percent
scheduler_no_eligible,70.40,73.30,percent
warp_cycles_per_issued_instruction,13.23,7.51,cycles
l1_hit_rate,0.655,1.004,percent
l2_hit_rate,81.604,32.365,percent
shared_load_bank_conflicts,16442656,0,conflicts
shared_store_bank_conflicts,503616,0,conflicts
stall_lg_throttle_per_issue,3.210,0.00177,cycles
stall_mio_throttle_per_issue,2.835,0.164,cycles
stall_wait_per_issue,2.246,1.884,cycles
stall_barrier_per_issue,1.001,0.954,cycles
stall_math_pipe_per_issue,0.743,1.341,cycles
stall_long_scoreboard_per_issue,0.089,1.195,cycles
