short_name,demangled_name,call_count,total_time_ns,total_time_ms,average_time_us,max_time_us
nvfp4_w4a16_gate_c512_m128_n256_bswizzle_scale512_3stage_256t_kernel,"q3x::kernels::<unnamed>::nvfp4_w4a16_gate_c512_m128_n256_bswizzle_scale512_3stage_256t_kernel(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",128,605830496,605.830496,4733.051,4777.152
gated_delta_net_update_warp_eight_row_register_state_m16_kernel,"q3x::runtime::<unnamed>::gated_delta_net_update_warp_eight_row_register_state_m16_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, float, unsigned short *)",1536,488766592,488.766592,318.207,330.016
nvfp4_w4a16_down_whole_chunk_m128_n128_k64_b_reuse_kernel,"void q3x::kernels::<unnamed>::nvfp4_w4a16_down_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned int)4>(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",64,427287872,427.287872,6676.373,6700.992
fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)5120, (unsigned long)6144, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",64,162092160,162.092160,2532.690,2543.872
fp8_w8a16_whole_chunk_qkv_m128_cp_async_register_feed_kernel,"q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_qkv_m128_cp_async_register_feed_kernel(const uint4 *, float, const unsigned short *, unsigned short *)",48,155592640,155.592640,3241.513,3244.640
fp8_w8a16_whole_chunk_z_m128_cp_async_canonical_xor_register_feed_kernel,"q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_z_m128_cp_async_canonical_xor_register_feed_kernel(const unsigned char *, float, const unsigned short *, unsigned short *)",48,99332800,99.332800,2069.433,2071.776
fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)12288, (unsigned long)5120, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",16,80197344,80.197344,5012.334,5019.424
bulk_causal_gqa_sigmoid_gate_24_4_256_kernel,"q3x::runtime::<unnamed>::bulk_causal_gqa_sigmoid_gate_24_4_256_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, unsigned int, unsigned short *)",16,76456320,76.456320,4778.520,4806.304
bf16_gemv_pair_m16_projection_fused_kernel,"q3x::kernels::<unnamed>::bf16_gemv_pair_m16_projection_fused_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)",1536,67961696,67.961696,44.246,50.784
silu_mul_kernel,"q3x::runtime::<unnamed>::silu_mul_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)",64,42935264,42.935264,670.864,680.992
headwise_rms_norm_kernel,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)0, (bool)1>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",48,32741792,32.741792,682.121,683.904
residual_add_headwise_centered_rms_norm_m32_5120_kernel,"q3x::runtime::<unnamed>::residual_add_headwise_centered_rms_norm_m32_5120_kernel(const unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *)",2048,30758624,30.758624,15.019,19.968
causal_conv1d_silu_update_tile_kernel,"q3x::runtime::<unnamed>::causal_conv1d_silu_update_tile_kernel(const unsigned short *, unsigned long, const unsigned short *, unsigned short *, unsigned short *)",1536,27590112,27.590112,17.962,20.992
fp8_w8a16_small_m64_attention_output_gemm_bf16_wmma_kernel,"void q3x::kernels::<unnamed>::fp8_w8a16_small_m64_attention_output_gemm_bf16_wmma_kernel<(unsigned long)1024, (unsigned long)5120, (unsigned int)72, (unsigned int)8, (bool)1>(const unsigned char *, float, const unsigned short *, unsigned short *)",32,20169472,20.169472,630.296,634.336
full_attention_preprocess_24_4_256_64_kernel,"q3x::runtime::<unnamed>::full_attention_preprocess_24_4_256_64_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)",512,7850464,7.850464,15.333,18.816
embedding_gather_kernel,"q3x::runtime::<unnamed>::embedding_gather_kernel(const unsigned short *, unsigned long, unsigned long, unsigned short *)",512,998464,0.998464,1.950,5.120
headwise_rms_norm_kernel,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",1,127648,0.127648,127.648,127.648
