rank,kernel_name,call_count,total_time_ms,average_time_us,max_time_us
1,"void q3x::kernels::<unnamed>::nvfp4_w4a16_gate_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned int)4>(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",128,839.241792,6556.577,6617.024
2,"q3x::runtime::<unnamed>::gated_delta_net_update_warp_eight_row_register_state_m16_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, float, unsigned short *)",1536,488.502304,318.035,330.240
3,"void q3x::kernels::<unnamed>::nvfp4_w4a16_down_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned int)4>(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",64,426.551136,6664.861,6690.624
4,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)5120, (unsigned long)6144, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",64,162.155648,2533.682,2543.808
5,"q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_qkv_m128_cp_async_register_feed_kernel(const uint4 *, float, const unsigned short *, unsigned short *)",48,155.504448,3239.676,3242.144
6,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)6144, (unsigned long)5120, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",48,121.420864,2529.601,2534.528
7,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)12288, (unsigned long)5120, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",16,80.200960,5012.560,5020.256
8,"q3x::runtime::<unnamed>::bulk_causal_gqa_sigmoid_gate_24_4_256_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, unsigned int, unsigned short *)",16,76.422624,4776.414,4798.272
9,"q3x::kernels::<unnamed>::bf16_gemv_pair_m16_projection_fused_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)",1536,67.814880,44.150,52.960
10,"q3x::runtime::<unnamed>::silu_mul_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)",64,43.096096,673.376,681.920
11,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)0, (bool)1>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",48,32.722784,681.725,682.816
12,"q3x::runtime::<unnamed>::residual_add_headwise_centered_rms_norm_m32_5120_kernel(const unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *)",2048,30.390272,14.839,19.680
13,"q3x::runtime::<unnamed>::causal_conv1d_silu_update_tile_kernel(const unsigned short *, unsigned long, const unsigned short *, unsigned short *, unsigned short *)",1536,27.510272,17.910,20.128
14,"void q3x::kernels::<unnamed>::fp8_w8a16_small_m64_attention_output_gemm_bf16_wmma_kernel<(unsigned long)1024, (unsigned long)5120, (unsigned int)72, (unsigned int)8, (bool)1>(const unsigned char *, float, const unsigned short *, unsigned short *)",32,20.087904,627.747,630.240
15,"q3x::runtime::<unnamed>::full_attention_preprocess_24_4_256_64_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)",512,7.852160,15.336,18.400
16,"q3x::runtime::<unnamed>::embedding_gather_kernel(const unsigned short *, unsigned long, unsigned long, unsigned short *)",512,0.999808,1.953,5.056
17,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",1,0.127200,127.200,127.200
