rank,kernel_name,call_count,total_time_ms,average_time_us,max_time_us
1,"void q3x::kernels::<unnamed>::nvfp4_w4a16_gate_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned int)4>(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",128,839.867392,6561.464,6621.248
2,"q3x::runtime::<unnamed>::gated_delta_net_update_warp_eight_row_register_state_m16_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, float, unsigned short *)",1536,488.585408,318.089,329.792
3,"void q3x::kernels::<unnamed>::nvfp4_w4a16_down_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned int)4>(const unsigned char *, const unsigned char *, float, const unsigned short *, unsigned short *)",64,426.555424,6664.928,6685.088
4,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)5120, (unsigned long)6144, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",64,162.026272,2531.660,2538.560
5,"q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_qkv_m128_cp_async_register_feed_kernel(const uint4 *, float, const unsigned short *, unsigned short *)",48,155.509984,3239.791,3242.624
6,"q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_z_m128_cp_async_canonical_xor_register_feed_kernel(const unsigned char *, float, const unsigned short *, unsigned short *)",48,99.290464,2068.551,2073.440
7,"void q3x::kernels::<unnamed>::fp8_w8a16_whole_chunk_m128_n128_k64_b_reuse_kernel<(unsigned long)12288, (unsigned long)5120, (unsigned int)4>(const unsigned char *, float, const unsigned short *, unsigned short *)",16,80.207680,5012.980,5017.376
8,"q3x::runtime::<unnamed>::bulk_causal_gqa_sigmoid_gate_24_4_256_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, unsigned int, unsigned short *)",16,76.361280,4772.580,4806.272
9,"q3x::kernels::<unnamed>::bf16_gemv_pair_m16_projection_fused_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)",1536,67.918208,44.218,49.792
10,"q3x::runtime::<unnamed>::silu_mul_kernel(const unsigned short *, const unsigned short *, unsigned long, unsigned short *)",64,42.894976,670.234,678.144
11,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)0, (bool)1>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",48,32.770496,682.719,683.936
12,"q3x::runtime::<unnamed>::residual_add_headwise_centered_rms_norm_m32_5120_kernel(const unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *)",2048,30.530208,14.907,19.744
13,"q3x::runtime::<unnamed>::causal_conv1d_silu_update_tile_kernel(const unsigned short *, unsigned long, const unsigned short *, unsigned short *, unsigned short *)",1536,27.616224,17.979,20.448
14,"void q3x::kernels::<unnamed>::fp8_w8a16_small_m64_attention_output_gemm_bf16_wmma_kernel<(unsigned long)1024, (unsigned long)5120, (unsigned int)72, (unsigned int)8, (bool)1>(const unsigned char *, float, const unsigned short *, unsigned short *)",32,20.108256,628.383,634.272
15,"q3x::runtime::<unnamed>::full_attention_preprocess_24_4_256_64_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)",512,7.834560,15.302,18.272
16,"q3x::runtime::<unnamed>::embedding_gather_kernel(const unsigned short *, unsigned long, unsigned long, unsigned short *)",512,1.001184,1.955,5.056
17,"void q3x::runtime::<unnamed>::headwise_rms_norm_kernel<(bool)1, (bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, float, unsigned short *)",1,0.127904,127.904,127.904
