rank,total_time_ms,instances,average_us,kernel_group,kernel_name
1,666.459104,128,5206.7118,W4A16_Marlin,"marlin NVFP4 M64xN256xK64 family"
2,334.742240,128,2615.1738,W8A16_Marlin,"marlin FP8 M64xN256xK64 family"
3,57.148032,129,443.0080,W4A16_Marlin,"marlin NVFP4 M8xN128xK128 family"
4,39.852192,128,311.3453,W8A16_Marlin,"marlin FP8 M8xN128xK128 family"
5,13.419968,48,279.5827,epilogue,"triton_poi_fused_marlin_gemm_mul_silu_slice_4"
6,11.600480,48,241.6767,GDN,"chunk_gated_delta_rule_fwd_kernel_h_blockdim64"
7,10.069408,48,209.7793,GDN,"chunk_fwd_kernel_o"
8,9.111840,48,189.8300,GDN,"merge_16x16_to_64x64_inverse_kernel"
9,6.980128,48,145.4193,GDN,"recompute_w_u_fwd_kernel"
10,6.764480,48,140.9267,causal_conv,"_causal_conv1d_fwd_kernel"
11,5.961728,48,124.2027,causal_conv,"_fused_post_conv_kernel"
12,5.551008,32,173.4690,norm,"triton_red_fused__to_copy_add_copy__fused_add_rms_norm_5"
13,5.127712,48,106.8273,compiled_epilogue,"triton_poi_fused_6"
14,4.813024,48,100.2713,compiled_epilogue,"triton_poi_fused__to_copy__unsafe_view_add_clone_marlin_gemm_mean_mul_pow_rsqrt_silu_view_2"
15,4.453280,16,278.3300,epilogue,"triton_poi_fused_marlin_gemm_mul_silu_slice_2"
16,3.957152,48,82.4407,norm,"triton_red_fused__to_copy_add_fused_add_rms_norm_marlin_gemm_3"
17,3.710496,16,231.9060,compiled_epilogue,"triton_poi_fused_7"
18,3.457952,16,216.1220,full_attention,"_fused_qk_rmsnorm_rope_gate_kernel"
19,3.349504,16,209.3440,full_attention,"flashinfer BatchPrefillWithPagedKVCacheKernel"
20,3.194112,48,66.5440,GDN,"chunk_scaled_dot_kkt_fwd_kernel"
