Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.4,515064000,64,8047875.0,8029968.0,7855520,8297728,101410.5,q3x_sm87_a4w4_gateup_factorized_lane_r1_tile_max_kernel
13.9,228289024,48,4756021.3,4765952.0,4692864,4827552,34221.9,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_linear_kernel
13.4,220180096,64,3440314.0,3439840.0,3410208,3473408,13434.4,q3x_sm87_a4w4_down_factorized_lane_kernel
6.7,109005920,64,1703217.5,1702384.0,1694656,1718752,4895.9,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_o_kernel
4.1,66540192,16,4158762.0,4158608.0,4119424,4210880,19103.9,q3x_sm87_a4w4_attention_k256_m128n256_a_exchange_b4_full_kernel
3.9,64396256,64,1006191.5,983328.0,835840,1276512,117994.1,q3x_sm87_a4w4_gateup_r1_product_finalize_kernel
3.8,62798176,192,327073.8,359856.0,226080,363552,57690.8,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::chunk_o_bv64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, const float *, unsigned short *)"
3.3,54836672,192,285607.7,310272.0,198976,324320,47548.2,"void q3x::runtime::gdn_prefill_chunk64_reference_detail::<unnamed>::persistent_state_chunk64_vllm_faithful_kernel<(bool)0>(const unsigned short *, const unsigned short *, const unsigned short *, const float *, const unsigned short *, unsigned short *, unsigned int, unsigned short *, unsigned short *, unsigned short *, unsigned short *)"
3.1,50469216,63,801098.7,800576.0,791488,809376,3994.8,q3x_sm87_mlp_residual_next_norm_k256_quantize_kernel
2.4,39714624,64,620541.0,620560.0,615712,625600,2448.2,q3x_sm87_attention_residual_post_norm_r1_quantize_kernel
2.2,35354240,192,184136.7,202768.0,126976,204544,32758.8,"q3x::runtime::gdn_prefill_whole_span_conv_detail::<unnamed>::causal_conv1d_silu_update_token_parallel_compact_qk_kernel(const unsigned short *, unsigned int, const unsigned short *, unsigned short *, unsigned short *, float, unsigned short *, unsigned short *)"
2.1,34453472,192,179445.2,196080.0,122880,204032,31123.6,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_recompute_chunk64_kernel(const unsigned short *, const float *, const unsigned short *, unsigned int, unsigned int, const unsigned short *, unsigned short *, unsigned short *)"
2.1,33869536,192,176403.8,193312.0,122976,197216,30468.0,"q3x::runtime::gdn_prefill_chunk_o_bv64_detail::<unnamed>::rms_norm_silu_rows8_k256_a4_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned int, float, unsigned int, unsigned int, float, unsigned char *, unsigned short *)"
2.0,32576160,64,509002.5,551232.0,194112,745376,204911.5,"void flashinfer::SinglePrefillWithKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)2, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, flashinfer::SinglePrefillParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16>>(T2)"
1.8,29240512,192,152294.3,166880.0,103648,172128,26841.1,"q3x::runtime::gdn_prefill_wy_vllm_layout_detail::<unnamed>::value_head_solve_chunk64_kernel(const float *, const float *, const float *, unsigned int, unsigned short *)"
0.8,13668512,64,213570.5,235120.0,146240,238912,38947.8,"q3x::runtime::<unnamed>::full_attention_preprocess_prompt_wide_128_kernel(const unsigned short *, unsigned short *, const unsigned short *, const unsigned short *, float, unsigned short *, unsigned short *, const float *, const float *, unsigned long)"
0.6,9989248,64,156082.0,171776.0,107264,173312,27944.8,"q3x::runtime::<unnamed>::bulk_gqa_flashinfer_sigmoid_gate_kernel(const unsigned short *, unsigned long, unsigned short *)"
0.4,7175136,48,149482.0,149504.0,146336,152576,1583.6,"q3x::kernels::<unnamed>::bf16_ab_prefill_m64_n96_k64_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
0.4,6754208,144,46904.2,46064.0,44288,55168,2280.5,"q3x::kernels::<unnamed>::bf16_gemv_pair_m16_projection_fused_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, unsigned short *)"
0.4,6271232,48,130650.7,130592.0,129568,131456,395.8,"q3x::kernels::<unnamed>::bf16_gemv_pair_tile_bf16_kernel(const unsigned short *, const unsigned short *, const unsigned short *, unsigned long, unsigned long, unsigned short *, unsigned short *)"
