scope_type,scope,zero_count,block_count,block_pct,e2m1_block_count
overall,all_nvfp4,0,319706953,27.82455986106717,319706953
overall,all_nvfp4,1,411085902,35.77740233957249,411085902
overall,all_nvfp4,2,262556728,22.8506928817464,262556728
overall,all_nvfp4,3,110689449,9.633463303780703,110689449
overall,all_nvfp4,4,34483357,3.001136578524927,34483357
overall,all_nvfp4,5,8435736,0.73417434028768,8435736
overall,all_nvfp4,6,1687484,0.1468641802500713,1687484
overall,all_nvfp4,7,291939,0.025407874633493154,291939
overall,all_nvfp4,8,50410,0.0043872554207364895,50410
overall,all_nvfp4,9,11927,0.0010380241103575502,11927
overall,all_nvfp4,10,4611,0.00040130201834985026,4611
overall,all_nvfp4,11,2329,0.000202696248262156,2329
overall,all_nvfp4,12,1355,0.000117927615455226,1355
overall,all_nvfp4,13,826,7.188797812990162e-05,826
overall,all_nvfp4,14,529,4.6039637325324396e-05,529
overall,all_nvfp4,15,385,3.350710845037787e-05,385
overall,all_nvfp4,16,0,0.0,0
projection,gate,0,99676846,27.958602344288547,99676846
projection,gate,1,127725214,35.82595769096823,127725214
projection,gate,2,81251551,22.790446281433105,81251551
projection,gate,3,34097320,9.564040688907399,34097320
projection,gate,4,10571134,2.9651232326731964,10571134
projection,gate,5,2572064,0.7214445226332721,2572064
projection,gate,6,512330,0.14370469486012177,512330
projection,gate,7,87995,0.024681932785931754,87995
projection,gate,8,15155,0.004250863019157858,15155
projection,gate,9,3624,0.0010165046243106619,3624
projection,gate,10,1411,0.00039577484130859375,1411
projection,gate,11,609,0.0001708198996151195,609
projection,gate,12,302,8.470871869255515e-05,302
projection,gate,13,155,4.3476329130284924e-05,155
projection,gate,14,82,2.3000380572150735e-05,82
projection,gate,15,48,1.3463637408088235e-05,48
projection,gate,16,0,0.0,0
projection,up,0,98864091,27.73063070633832,98864091
projection,up,1,127527242,35.77042804044836,127527242
projection,up,2,81668405,22.907370679518756,81668405
projection,up,3,34481531,9.67180897207821,34481531
projection,up,4,10744582,3.0137740864473233,10744582
projection,up,5,2616206,0.7338260201846852,2616206
projection,up,6,514164,0.14421911800608916,514164
projection,up,7,84337,0.02365589141845703,84337
projection,up,8,12312,0.003453422995174632,12312
projection,up,9,1962,0.0005503261790556066,1962
projection,up,10,503,0.00014108770033892463,503
projection,up,11,216,6.058636833639706e-05,216
projection,up,12,118,3.309810862821691e-05,118
projection,up,13,71,1.9914963666130515e-05,71
projection,up,14,51,1.430511474609375e-05,51
projection,up,15,49,1.3744129854090074e-05,49
projection,up,16,0,0.0,0
projection,down,0,99072452,27.789074392879712,99072452
projection,down,1,127474955,35.75576193192426,127474955
projection,down,2,81511855,22.863459587097168,81511855
projection,down,3,34429998,9.657354354858398,34429998
projection,down,4,10740872,3.0127334594726562,10740872
projection,down,5,2636627,0.7395539564244887,2636627
projection,down,6,530249,0.14873083900002873,530249
projection,down,7,93161,0.026130956761977252,93161
projection,down,8,16781,0.004706943736356848,16781
projection,down,9,4442,0.0012459474451401655,4442
projection,down,10,1838,0.0005155451157513787,1838
projection,down,11,1032,0.00028946820427389703,1032
projection,down,12,669,0.00018764944637522977,669
projection,down,13,436,0.00012229470645680148,436
projection,down,14,296,8.302576401654412e-05,296
projection,down,15,177,4.964716294232537e-05,177
projection,down,16,0,0.0,0
projection,lm_head,0,22093564,27.803796512564432,22093564
projection,lm_head,1,28358491,35.687936684519975,28358491
projection,lm_head,2,18124917,22.80942558996456,18124917
projection,lm_head,3,7680600,9.665703527706185,7680600
projection,lm_head,4,2426769,3.0539840226320876,2426769
projection,lm_head,5,610839,0.7687145115173969,610839
projection,lm_head,6,130741,0.16453190439755155,130741
projection,lm_head,7,26446,0.03328114932345361,26446
projection,lm_head,8,6162,0.0077546109858247425,6162
projection,lm_head,9,1899,0.002389809519974227,1899
projection,lm_head,10,859,0.0010810144168814434,859
projection,lm_head,11,472,0.0005939916237113402,472
projection,lm_head,12,266,0.0003347495167525773,266
projection,lm_head,13,164,0.00020638692010309278,164
projection,lm_head,14,100,0.0001258456829896907,100
projection,lm_head,15,111,0.0001396887081185567,111
projection,lm_head,16,0,0.0,0
layer,layer_00,0,4697323,28.10802384918811,4697323
layer,layer_00,1,6004167,35.927967744715076,6004167
layer,layer_00,2,3800713,22.742854099647673,3800713
layer,layer_00,3,1581699,9.464631922104779,1581699
layer,layer_00,4,484416,2.8986672794117645,484416
layer,layer_00,5,116313,0.6959982479319853,116313
layer,layer_00,6,22550,0.13493556602328433,22550
layer,layer_00,7,3755,0.022469314874387254,3755
layer,layer_00,8,591,0.0035364487591911763,591
layer,layer_00,9,104,0.0006223192401960784,104
layer,layer_00,10,36,0.00021541819852941176,36
layer,layer_00,11,7,4.188687193627451e-05,7
layer,layer_00,12,4,2.3935355392156862e-05,4
layer,layer_00,13,2,1.1967677696078431e-05,2
layer,layer_00,14,0,0.0,0
layer,layer_00,15,0,0.0,0
layer,layer_00,16,0,0.0,0
layer,layer_01,0,4683879,28.027577119715072,4683879
layer,layer_01,1,5997483,35.88797176585478,5997483
layer,layer_01,2,3806717,22.7787810680913,3806717
layer,layer_01,3,1589453,9.511030608532476,1589453
layer,layer_01,4,488176,2.9211665134803924,488176
layer,layer_01,5,117853,0.7052133597579657,117853
layer,layer_01,6,23070,0.13804716222426472,23070
layer,layer_01,7,3910,0.023396809895833332,3910
layer,layer_01,8,751,0.004493862974877451,751
layer,layer_01,9,195,0.001166848575367647,195
layer,layer_01,10,86,0.0005146101409313726,86
layer,layer_01,11,44,0.0002632889093137255,44
layer,layer_01,12,31,0.00018549900428921568,31
layer,layer_01,13,17,0.00010172526041666667,17
layer,layer_01,14,11,6.582222732843137e-05,11
layer,layer_01,15,4,2.3935355392156862e-05,4
layer,layer_01,16,0,0.0,0
layer,layer_02,0,4714659,28.21175967945772,4714659
layer,layer_02,1,5998544,35.89432061887255,5998544
layer,layer_02,2,3790547,22.682022393918505,3790547
layer,layer_02,3,1579420,9.450994753370098,1579420
layer,layer_02,4,485502,2.9051657284007355,485502
layer,layer_02,5,116152,0.695034849877451,116152
layer,layer_02,6,22569,0.13504925896139705,22569
layer,layer_02,7,3649,0.0218350279564951,3649
layer,layer_02,8,514,0.0030756931678921568,514
layer,layer_02,9,89,0.0005325616574754901,89
layer,layer_02,10,16,9.574142156862745e-05,16
layer,layer_02,11,15,8.975758272058824e-05,15
layer,layer_02,12,2,1.1967677696078431e-05,2
layer,layer_02,13,2,1.1967677696078431e-05,2
layer,layer_02,14,0,0.0,0
layer,layer_02,15,0,0.0,0
layer,layer_02,16,0,0.0,0
layer,layer_03,0,4722331,28.25766769109988,4722331
layer,layer_03,1,6006951,35.94462675206802,6006951
layer,layer_03,2,3784216,22.644138710171568,3784216
layer,layer_03,3,1572307,9.408431707643995,1572307
layer,layer_03,4,483610,2.893844305300245,483610
layer,layer_03,5,115907,0.6935688093596813,115907
layer,layer_03,6,22221,0.1329668830422794,22221
layer,layer_03,7,3572,0.021374272365196078,3572
layer,layer_03,8,479,0.0028662588082107843,479
layer,layer_03,9,69,0.0004128848805147059,69
layer,layer_03,10,11,6.582222732843137e-05,11
layer,layer_03,11,2,1.1967677696078431e-05,2
layer,layer_03,12,2,1.1967677696078431e-05,2
layer,layer_03,13,2,1.1967677696078431e-05,2
layer,layer_03,14,0,0.0,0
layer,layer_03,15,0,0.0,0
layer,layer_03,16,0,0.0,0
layer,layer_04,0,4708997,28.17787918390012,4708997
layer,layer_04,1,6001621,35.91273289100796,6001621
layer,layer_04,2,3791177,22.68579221239277,3791177
layer,layer_04,3,1578656,9.446423100490197,1578656
layer,layer_04,4,486560,2.911496629901961,486560
layer,layer_04,5,117425,0.7026522767310049,117425
layer,layer_04,6,22936,0.13724532781862744,22936
layer,layer_04,7,3692,0.022092333026960783,3692
layer,layer_04,8,519,0.003105612362132353,519
layer,layer_04,9,74,0.00044280407475490196,74
layer,layer_04,10,14,8.377374387254902e-05,14
layer,layer_04,11,4,2.3935355392156862e-05,4
layer,layer_04,12,4,2.3935355392156862e-05,4
layer,layer_04,13,0,0.0,0
layer,layer_04,14,1,5.983838848039216e-06,1
layer,layer_04,15,0,0.0,0
layer,layer_04,16,0,0.0,0
layer,layer_05,0,4703377,28.144250009574144,4703377
layer,layer_05,1,5999638,35.90086693857231,5999638
layer,layer_05,2,3797647,22.724507649739582,3797647
layer,layer_05,3,1581678,9.464506261488971,1581678
layer,layer_05,4,485665,2.9061410941329657,485665
layer,layer_05,5,116746,0.6985892501531863,116746
layer,layer_05,6,22654,0.1355578852634804,22654
layer,layer_05,7,3648,0.021829044117647058,3648
layer,layer_05,8,538,0.003219305300245098,538
layer,layer_05,9,78,0.00046673943014705885,78
layer,layer_05,10,10,5.9838388480392154e-05,10
layer,layer_05,11,1,5.983838848039216e-06,1
layer,layer_05,12,0,0.0,0
layer,layer_05,13,0,0.0,0
layer,layer_05,14,0,0.0,0
layer,layer_05,15,0,0.0,0
layer,layer_05,16,0,0.0,0
layer,layer_06,0,4652486,27.839726466758577,4652486
layer,layer_06,1,5985162,35.81424488740809,5985162
layer,layer_06,2,3817009,22.840366737515318,3817009
layer,layer_06,3,1603782,9.596773035386029,1603782
layer,layer_06,4,498222,2.981280158547794,498222
layer,layer_06,5,121892,0.7293820848651961,121892
layer,layer_06,6,25294,0.15135521982230393,25294
layer,layer_06,7,4997,0.02990124272365196,4997
layer,layer_06,8,1413,0.008455164292279412,1413
layer,layer_06,9,617,0.003692028569240196,617
layer,layer_06,10,349,0.0020883597579656864,349
layer,layer_06,11,190,0.001136929381127451,190
layer,layer_06,12,110,0.0006582222732843138,110
layer,layer_06,13,79,0.00047272326899509804,79
layer,layer_06,14,51,0.00030517578125,51
layer,layer_06,15,27,0.00016156364889705882,27
layer,layer_06,16,0,0.0,0
layer,layer_07,0,4690595,28.067764581418505,4690595
layer,layer_07,1,5998030,35.891244925704655,5998030
layer,layer_07,2,3808354,22.78857661228554,3808354
layer,layer_07,3,1584814,9.483271580116421,1584814
layer,layer_07,4,486861,2.9132977653952206,486861
layer,layer_07,5,116314,0.6960042317708334,116314
layer,layer_07,6,22471,0.1344628427542892,22471
layer,layer_07,7,3644,0.0218051087622549,3644
layer,layer_07,8,492,0.002944048713235294,492
layer,layer_07,9,80,0.00047870710784313723,80
layer,layer_07,10,18,0.00010770909926470588,18
layer,layer_07,11,3,1.7951516544117648e-05,3
layer,layer_07,12,0,0.0,0
layer,layer_07,13,2,1.1967677696078431e-05,2
layer,layer_07,14,0,0.0,0
layer,layer_07,15,2,1.1967677696078431e-05,2
layer,layer_07,16,0,0.0,0
layer,layer_08,0,4705108,28.154608034620097,4705108
layer,layer_08,1,6006849,35.94401640050552,6006849
layer,layer_08,2,3797243,22.722090178844976,3797243
layer,layer_08,3,1577550,9.439804974724264,1577550
layer,layer_08,4,483587,2.8937066770067403,483587
layer,layer_08,5,115124,0.6888834635416666,115124
layer,layer_08,6,22202,0.13285319010416666,22202
layer,layer_08,7,3460,0.020704082414215685,3460
layer,layer_08,8,491,0.002938064874387255,491
layer,layer_08,9,51,0.00030517578125,51
layer,layer_08,10,13,7.77899050245098e-05,13
layer,layer_08,11,2,1.1967677696078431e-05,2
layer,layer_08,12,0,0.0,0
layer,layer_08,13,0,0.0,0
layer,layer_08,14,0,0.0,0
layer,layer_08,15,0,0.0,0
layer,layer_08,16,0,0.0,0
layer,layer_09,0,4710217,28.18517946729473,4710217
layer,layer_09,1,6003442,35.92362946155024,6003442
layer,layer_09,2,3791753,22.68923890356924,3791753
layer,layer_09,3,1578927,9.448044720818014,1578927
layer,layer_09,4,484854,2.901288200827206,484854
layer,layer_09,5,116010,0.6941851447610294,116010
layer,layer_09,6,22391,0.13398413564644607,22391
layer,layer_09,7,3480,0.02082375919117647,3480
layer,layer_09,8,506,0.0030278224571078432,506
layer,layer_09,9,79,0.00047272326899509804,79
layer,layer_09,10,17,0.00010172526041666667,17
layer,layer_09,11,3,1.7951516544117648e-05,3
layer,layer_09,12,0,0.0,0
layer,layer_09,13,1,5.983838848039216e-06,1
layer,layer_09,14,0,0.0,0
layer,layer_09,15,0,0.0,0
layer,layer_09,16,0,0.0,0
layer,layer_10,0,4681977,28.0161958582261,4681977
layer,layer_10,1,5994237,35.86854822495405,5994237
layer,layer_10,2,3805384,22.77080461090686,3805384
layer,layer_10,3,1594883,9.543522853477329,1594883
layer,layer_10,4,490358,2.9342232498468137,490358
layer,layer_10,5,117277,0.7017666685814951,117277
layer,layer_10,6,22779,0.13630586511948528,22779
layer,layer_10,7,3951,0.023642147288602942,3951
layer,layer_10,8,644,0.003853592218137255,644
layer,layer_10,9,125,0.000747979856004902,125
layer,layer_10,10,44,0.0002632889093137255,44
layer,layer_10,11,13,7.77899050245098e-05,13
layer,layer_10,12,6,3.5903033088235295e-05,6
layer,layer_10,13,2,1.1967677696078431e-05,2
layer,layer_10,14,0,0.0,0
layer,layer_10,15,0,0.0,0
layer,layer_10,16,0,0.0,0
layer,layer_11,0,4702657,28.139941645603553,4702657
layer,layer_11,1,6008701,35.955098470052086,6008701
layer,layer_11,2,3796288,22.716375612745097,3796288
