scope_type,scope,e2m1_code,decoded_value,value_count,value_pct
overall,all_nvfp4,0x0,0.0,730618492,3.974174195989535
overall,all_nvfp4,0x1,0.5,1450223043,7.888438438155521
overall,all_nvfp4,0x2,1.0,1346532235,7.3244158490381
overall,all_nvfp4,0x3,1.5,1222520072,6.6498559472837275
overall,all_nvfp4,0x4,2.0,1367903127,7.440662082142859
overall,all_nvfp4,0x5,3.0,1362559240,7.411594192328644
overall,all_nvfp4,0x6,4.0,1130873004,6.151344868284514
overall,all_nvfp4,0x7,6.0,584310082,3.178334624386881
overall,all_nvfp4,0x8,-0.0,730552329,3.973814304623236
overall,all_nvfp4,0x9,-0.5,1449919384,7.886786695453421
overall,all_nvfp4,0xa,-1.0,1345910292,7.32103281144866
overall,all_nvfp4,0xb,-1.5,1221764970,6.645748595886796
overall,all_nvfp4,0xc,-2.0,1366641900,7.433801681190011
overall,all_nvfp4,0xd,-3.0,1360921238,7.402684336702681
overall,all_nvfp4,0xe,-4.0,1129291363,6.142741586382474
overall,all_nvfp4,0xf,-6.0,583617949,3.174569790702938
projection,gate,0x0,0.0,225770330,3.9579295060213875
projection,gate,0x1,0.5,448354846,7.860009214457343
projection,gate,0x2,1.0,416923531,7.308993812869577
projection,gate,0x3,1.5,379089675,6.645736887174494
projection,gate,0x4,2.0,425042764,7.45133028310888
projection,gate,0x5,3.0,424200864,7.43657112121582
projection,gate,0x6,4.0,352376435,6.17743301040986
projection,gate,0x7,6.0,181318859,3.178660641698276
projection,gate,0x8,-0.0,225766919,3.9578697085380554
projection,gate,0x9,-0.5,448270488,7.858530353097355
projection,gate,0xa,-1.0,416781093,7.3064967639306015
projection,gate,0xb,-1.5,378918788,6.642741105135749
projection,gate,0xc,-2.0,424703451,7.445381862275741
projection,gate,0xd,-3.0,423687861,7.427577779573553
projection,gate,0xe,-4.0,351886958,6.168852097847882
projection,gate,0xf,-6.0,181160578,3.1758858526454254
projection,up,0x0,0.0,227088497,3.981037998900694
projection,up,0x1,0.5,450398173,7.895830326220569
projection,up,0x2,1.0,417816990,7.324656844139099
projection,up,0x3,1.5,378958228,6.6434325190151435
projection,up,0x4,2.0,423834640,7.430150929619284
projection,up,0x5,3.0,422130912,7.40028325249167
projection,up,0x6,4.0,350616689,6.146583294167238
projection,up,0x7,6.0,181315859,3.178608049364651
projection,up,0x8,-0.0,227082197,3.980927555000081
projection,up,0x9,-0.5,450419420,7.896202802658081
projection,up,0xa,-1.0,417762543,7.323702345876133
projection,up,0xb,-1.5,378961024,6.643481535070083
projection,up,0xc,-2.0,423833672,7.430133959826301
projection,up,0xd,-3.0,422115395,7.400011227411382
projection,up,0xe,-4.0,350622272,6.146681168500115
projection,up,0xf,-6.0,181296929,3.178276191739475
projection,down,0x0,0.0,227003679,3.9795510733828827
projection,down,0x1,0.5,450597372,7.899322439642513
projection,down,0x2,1.0,418306847,7.333244418396669
projection,down,0x3,1.5,379177818,6.647282102528741
projection,down,0x4,2.0,424460930,7.44113028049469
projection,down,0x5,3.0,421638620,7.391652990789974
projection,down,0x6,4.0,349836767,6.132910654825323
projection,down,0x7,6.0,181081302,3.1744960826985977
projection,down,0x8,-0.0,226989677,3.9793056074310753
projection,down,0x9,-0.5,450596847,7.899313235984129
projection,down,0xa,-1.0,418329787,7.333646574441125
projection,down,0xb,-1.5,379221240,6.648043323965633
projection,down,0xc,-2.0,424418369,7.440384153057547
projection,down,0xd,-3.0,421676597,7.392318757141338
projection,down,0xe,-4.0,349837124,6.132916913313024
projection,down,0xf,-6.0,181080464,3.1744813919067383
projection,lm_head,0x0,0.0,50755986,3.9921385774907376
projection,lm_head,0x1,0.5,100872652,7.93399236620087
projection,lm_head,0x2,1.0,93484867,7.352916835509625
projection,lm_head,0x3,1.5,85294351,6.708703660473381
projection,lm_head,0x4,2.0,94564793,7.4378568511648275
projection,lm_head,0x5,3.0,94588844,7.439748547740819
projection,lm_head,0x6,4.0,78043113,6.1383680363291315
projection,lm_head,0x7,6.0,40594062,3.1928671610724066
projection,lm_head,0x8,-0.0,50713536,3.9887997342139174
projection,lm_head,0x9,-0.5,100632629,7.915113704720723
projection,lm_head,0xa,-1.0,93036869,7.317680201579615
projection,lm_head,0xb,-1.5,84663918,6.6591178658082315
projection,lm_head,0xc,-2.0,93686408,7.368768751006765
projection,lm_head,0xd,-3.0,93441385,7.349496821767276
projection,lm_head,0xe,-4.0,76945009,6.051998256408062
projection,lm_head,0xf,-6.0,40079978,3.1524326285136115
layer,layer_00,0x0,0.0,10518697,3.9338867337095973
layer,layer_00,0x1,0.5,20916299,7.822485157087738
layer,layer_00,0x2,1.0,19481178,7.285764357622932
layer,layer_00,0x3,1.5,17846878,6.674552618288526
layer,layer_00,0x4,2.0,19928129,7.452919529933555
layer,layer_00,0x5,3.0,20059854,7.502183353199678
layer,layer_00,0x6,4.0,16561713,6.193913852467256
layer,layer_00,0x7,6.0,8413836,3.1466899198644303
layer,layer_00,0x8,-0.0,10518982,3.9339933208390776
layer,layer_00,0x9,-0.5,20916231,7.822459725772633
layer,layer_00,0xa,-1.0,19480530,7.2855220121495865
layer,layer_00,0xb,-1.5,17838913,6.671573788511987
layer,layer_00,0xc,-2.0,19914598,7.447859072217755
layer,layer_00,0xd,-3.0,20044224,7.496337890625
layer,layer_00,0xe,-4.0,16537921,6.185015884100222
layer,layer_00,0xf,-6.0,8408897,3.144842783610026
layer,layer_01,0x0,0.0,10553163,3.9467766705681298
layer,layer_01,0x1,0.5,20966356,7.841205970913756
layer,layer_01,0x2,1.0,19458071,7.277122572356579
layer,layer_01,0x3,1.5,17862592,6.680429496017157
layer,layer_01,0x4,2.0,19912241,7.446977577957452
layer,layer_01,0x5,3.0,20029954,7.491001054352405
layer,layer_01,0x6,4.0,16535127,6.183970956241383
layer,layer_01,0x7,6.0,8415098,3.147161895153569
layer,layer_01,0x8,-0.0,10543786,3.9432697670132506
layer,layer_01,0x9,-0.5,20967192,7.841518626493566
layer,layer_01,0xa,-1.0,19456268,7.276448268516391
layer,layer_01,0xb,-1.5,17858166,6.678774216595818
layer,layer_01,0xc,-2.0,19900042,7.442415274825751
layer,layer_01,0xd,-3.0,20016528,7.485979865579044
layer,layer_01,0xe,-4.0,16512638,6.175560296750536
layer,layer_01,0xf,-6.0,8399658,3.1413874906652115
layer,layer_02,0x0,0.0,10498676,3.92639908136106
layer,layer_02,0x1,0.5,20903268,7.8176116943359375
layer,layer_02,0x2,1.0,19443665,7.271734873453776
layer,layer_02,0x3,1.5,17736772,6.633374083275888
layer,layer_02,0x4,2.0,19938343,7.456739463058173
layer,layer_02,0x5,3.0,19956402,7.463493347167969
layer,layer_02,0x6,4.0,16655225,6.2288863986146215
layer,layer_02,0x7,6.0,8546390,3.196263780780867
layer,layer_02,0x8,-0.0,10508235,3.9299740510828354
layer,layer_02,0x9,-0.5,20912508,7.82106736127068
layer,layer_02,0xa,-1.0,19448161,7.273416332170075
layer,layer_02,0xb,-1.5,17737439,6.6336235345578665
layer,layer_02,0xc,-2.0,19939218,7.457066704245174
layer,layer_02,0xd,-3.0,19964614,7.466564552456725
layer,layer_02,0xe,-4.0,16652193,6.227752461152918
layer,layer_02,0xf,-6.0,8545771,3.1960322810154334
layer,layer_03,0x0,0.0,10484825,3.921218946868298
layer,layer_03,0x1,0.5,20867822,7.804355247347963
layer,layer_03,0x2,1.0,19410516,7.259337481330423
layer,layer_03,0x3,1.5,17702108,6.620410096411612
layer,layer_03,0x4,2.0,19966701,7.467345069436466
layer,layer_03,0x5,3.0,19987850,7.47525458242379
layer,layer_03,0x6,4.0,16686236,6.240484200271905
layer,layer_03,0x7,6.0,8558516,3.2007987826478246
layer,layer_03,0x8,-0.0,10484419,3.921067106957529
layer,layer_03,0x9,-0.5,20860246,7.801521899653416
layer,layer_03,0xa,-1.0,19418230,7.262222439635034
layer,layer_03,0xb,-1.5,17703406,6.620895535338159
layer,layer_03,0xc,-2.0,19972461,7.46949925142176
layer,layer_03,0xd,-3.0,19999813,7.479728623932483
