scope_type,scope,tensor_count,blocks,logical_values,e2m1_zero_values,dequant_zero_values,dequant_zero_pct,positive_zero_codes,negative_zero_codes,scale_induced_zero_values,zero_free_blocks,blocks_with_any_zero,blocks_with_any_zero_pct,all_zero_blocks,mean_zeros_per_block,zero_scale_blocks,negative_scale_blocks,nan_scale_blocks
overall,all_nvfp4,193,1149009920,18384158720,1461170821,1461170821,7.947988500612771,730618492,730552329,0,319706953,829302967,72.17544013893283,0,1.2716781600980434,0,0,0
projection,gate,64,356515840,5704253440,451537249,451537249,7.915799214559443,225770330,225766919,0,99676846,256838994,72.04139765571145,0,1.2665278743295107,0,0,0
projection,up,64,356515840,5704253440,454170694,454170694,7.961965553900775,227088497,227082197,0,98864091,257651749,72.26936929366168,0,1.273914488624124,0,0,0
projection,down,64,356515840,5704253440,453993356,453993356,7.958856680813958,227003679,226989677,0,99072452,257443388,72.21092560712029,0,1.2734170689302333,0,0,0
projection,lm_head,1,79462400,1271398400,101469522,101469522,7.980938311704655,50755986,50713536,0,22093564,57368836,72.19620348743557,0,1.2769501298727448,0,0,0
layer,layer_00,3,16711680,267386880,21037679,21037679,7.867880054548675,10518697,10518982,0,4697323,12014357,71.89197615081189,0,1.258860808727788,0,0,0
layer,layer_01,3,16711680,267386880,21096949,21096949,7.89004643758138,10553163,10543786,0,4683879,12027801,71.97242288028492,0,1.2624074300130208,0,0,0
layer,layer_02,3,16711680,267386880,21006911,21006911,7.8563731324438955,10498676,10508235,0,4714659,11997021,71.78824032054229,0,1.2570197011910234,0,0,0
layer,layer_03,3,16711680,267386880,20969244,20969244,7.842286053825827,10484825,10484419,0,4722331,11989349,71.74233230890012,0,1.2547657686121323,0,0,0
layer,layer_04,3,16711680,267386880,21021832,21021832,7.86195343615962,10510310,10511522,0,4708997,12002683,71.82212081609988,0,1.2579125497855392,0,0,0
layer,layer_05,3,16711680,267386880,21032933,21032933,7.866105098350375,10520025,10512908,0,4703377,12008303,71.85574999042586,0,1.25857681573606,0,0,0
layer,layer_06,3,16711680,267386880,21245520,21245520,7.945610495174632,10619364,10626156,0,4652486,12059194,72.16027353324142,0,1.2712976792279411,0,0,0
layer,layer_07,3,16711680,267386880,21063453,21063453,7.87751927095301,10528579,10534874,0,4690595,12021085,71.9322354185815,0,1.2604030833524815,0,0,0
layer,layer_08,3,16711680,267386880,21005924,21005924,7.856004004384957,10497822,10508102,0,4705108,12006572,71.8453919653799,0,1.2569606407015932,0,0,0
layer,layer_09,3,16711680,267386880,21006876,21006876,7.856360042796416,10503522,10503354,0,4710217,12001463,71.81482053270527,0,1.2570176068474264,0,0,0
layer,layer_10,3,16711680,267386880,21108760,21108760,7.894463632621017,10553657,10555103,0,4681977,12029703,71.9838041417739,0,1.2631141812193627,0,0,0
layer,layer_11,3,16711680,267386880,21013691,21013691,7.858908784155752,10504536,10509155,0,4702657,12009023,71.86005835439644,0,1.2574254054649203,0,0,0
layer,layer_12,3,16711680,267386880,21009761,21009761,7.857439003738702,10501414,10508347,0,4709131,12002549,71.82131898169423,0,1.2571902405981925,0,0,0
layer,layer_13,3,16711680,267386880,21049311,21049311,7.8722303053911995,10528310,10521001,0,4699757,12011923,71.87741148705577,0,1.259556848862592,0,0,0
layer,layer_14,3,16711680,267386880,21054662,21054662,7.874231525495941,10527749,10526913,0,4690770,12020910,71.9311882467831,0,1.2598770440793505,0,0,0
layer,layer_15,3,16711680,267386880,21067277,21067277,7.878949408437691,10530909,10536368,0,4694536,12017144,71.90865310968137,0,1.2606319053500306,0,0,0
layer,layer_16,3,16711680,267386880,21082895,21082895,7.884790383133233,10542996,10539899,0,4694920,12016760,71.90635531556373,0,1.2615664613013173,0,0,0
layer,layer_17,3,16711680,267386880,21086260,21086260,7.886048859240962,10540504,10545756,0,4686265,12025415,71.9581454407935,0,1.2617678174785538,0,0,0
layer,layer_18,3,16711680,267386880,21358326,21358326,7.987798802992877,10675390,10682936,0,4630391,12081289,72.29248645258885,0,1.2780478084788602,0,0,0
layer,layer_19,3,16711680,267386880,21171807,21171807,7.918042575611787,10587810,10583997,0,4663412,12048268,72.09489410998775,0,1.266886812097886,0,0,0
layer,layer_20,3,16711680,267386880,21114856,21114856,7.89674347522212,10557730,10557126,0,4680636,12031044,71.99182846966912,0,1.2634789560355393,0,0,0
layer,layer_21,3,16711680,267386880,21109819,21109819,7.894859687954772,10552030,10557789,0,4679240,12032440,72.00018190870098,0,1.2631775500727636,0,0,0
layer,layer_22,3,16711680,267386880,21240706,21240706,7.943810107661228,10624037,10616669,0,4647832,12063848,72.1881223192402,0,1.2710096172257965,0,0,0
layer,layer_23,3,16711680,267386880,21171607,21171607,7.917967777626187,10588945,10582662,0,4663808,12047872,72.09252450980392,0,1.26687484442019,0,0,0
layer,layer_24,3,16711680,267386880,21197796,21197796,7.927762199850643,10602993,10594803,0,4666852,12044828,72.07430970435048,0,1.268441951976103,0,0,0
layer,layer_25,3,16711680,267386880,21264753,21264753,7.952803443459904,10631433,10633320,0,4640657,12071023,72.23105636297488,0,1.2724485509535846,0,0,0
layer,layer_26,3,16711680,267386880,21341952,21341952,7.9816750919117645,10669362,10672590,0,4627905,12083775,72.30736227596508,0,1.2770680147058824,0,0,0
layer,layer_27,3,16711680,267386880,21315596,21315596,7.971818213369332,10655940,10659656,0,4626564,12085116,72.31538660386029,0,1.275490914139093,0,0,0
layer,layer_28,3,16711680,267386880,21328413,21328413,7.97661164227654,10667937,10660476,0,4626546,12085134,72.31549431295956,0,1.2762578627642462,0,0,0
layer,layer_29,3,16711680,267386880,21338314,21338314,7.980314516553692,10670715,10667599,0,4623722,12087958,72.33239267386642,0,1.2768503226485908,0,0,0
layer,layer_30,3,16711680,267386880,21392841,21392841,8.000707065357881,10694130,10698711,0,4615101,12096579,72.38397934857537,0,1.280113130457261,0,0,0
layer,layer_31,3,16711680,267386880,21394118,21394118,8.00118465049594,10696462,10697656,0,4613884,12097796,72.39126168045343,0,1.2801895440793505,0,0,0
layer,layer_32,3,16711680,267386880,21495113,21495113,8.038955763274549,10750237,10744876,0,4588281,12123399,72.54446590647979,0,1.2862329221239277,0,0,0
layer,layer_33,3,16711680,267386880,21531686,21531686,8.052633696911382,10765474,10766212,0,4581985,12129695,72.58214015586704,0,1.2884213915058211,0,0,0
layer,layer_34,3,16711680,267386880,21786700,21786700,8.148006364410998,10898646,10888054,0,4529987,12181693,72.89328780828738,0,1.3036810183057599,0,0,0
layer,layer_35,3,16711680,267386880,21430421,21430421,8.014761606852213,10716912,10713509,0,4608525,12103155,72.42332907284008,0,1.2823618570963542,0,0,0
layer,layer_36,3,16711680,267386880,21266731,21266731,7.953543195537493,10632344,10634387,0,4645194,12066486,72.20390768612133,0,1.2725669112859987,0,0,0
layer,layer_37,3,16711680,267386880,21198709,21198709,7.92810365265491,10603050,10595659,0,4654700,12056980,72.14702531403186,0,1.2684965844247855,0,0,0
layer,layer_38,3,16711680,267386880,21236971,21236971,7.942413255280139,10619725,10617246,0,4656913,12054767,72.13378307866115,0,1.2707861208448223,0,0,0
layer,layer_39,3,16711680,267386880,21110528,21110528,7.895124846813726,10554060,10556468,0,4679171,12032509,72.0005947935815,0,1.263219975490196,0,0,0
layer,layer_40,3,16711680,267386880,21224664,21224664,7.937810561236213,10614894,10609770,0,4651010,12060670,72.16910567938113,0,1.2700496897977942,0,0,0
layer,layer_41,3,16711680,267386880,21297014,21297014,7.964868732527191,10647645,10649369,0,4630870,12080810,72.28962019378064,0,1.2743789972043504,0,0,0
layer,layer_42,3,16711680,267386880,21387690,21387690,7.9987806432387405,10695881,10691809,0,4614830,12096850,72.38560096890319,0,1.2798049029181986,0,0,0
layer,layer_43,3,16711680,267386880,21319657,21319657,7.97333698646695,10660163,10659494,0,4627317,12084363,72.31088077320771,0,1.275733917834712,0,0,0
layer,layer_44,3,16711680,267386880,21328572,21328572,7.9766711066750915,10666278,10662294,0,4623904,12087776,72.33130361519608,0,1.2762673770680146,0,0,0
layer,layer_45,3,16711680,267386880,21320427,21320427,7.973624958711512,10659096,10661331,0,4623140,12088540,72.33587526807598,0,1.2757799933938418,0,0,0
layer,layer_46,3,16711680,267386880,21352748,21352748,7.9857126871744795,10676577,10676171,0,4624222,12087458,72.3294007544424,0,1.2777140299479166,0,0,0
layer,layer_47,3,16711680,267386880,21392495,21392495,8.000577664842792,10694250,10698245,0,4612867,12098813,72.39734724456189,0,1.2800924263748468,0,0,0
layer,layer_48,3,16711680,267386880,21456838,21456838,8.024641298780255,10729107,10727731,0,4598032,12113648,72.48611749387256,0,1.2839426078048406,0,0,0
layer,layer_49,3,16711680,267386880,21503174,21503174,8.041970496084176,10748165,10755009,0,4594726,12116954,72.50590006510417,0,1.2867152793734682,0,0,0
layer,layer_50,3,16711680,267386880,21767160,21767160,8.140698601217832,10884116,10883044,0,4528686,12182994,72.90107278262867,0,1.302511776194853,0,0,0
layer,layer_51,3,16711680,267386880,21498313,21498313,8.040152531044155,10746406,10751907,0,4588813,12122867,72.54128250421262,0,1.286424404967065,0,0,0
layer,layer_52,3,16711680,267386880,21350487,21350487,7.984867095947266,10679253,10671234,0,4628594,12083086,72.30323941099877,0,1.2775787353515624,0,0,0
layer,layer_53,3,16711680,267386880,21300444,21300444,7.966151517980239,10647993,10652451,0,4640420,12071260,72.23247453278186,0,1.2745842428768381,0,0,0
layer,layer_54,3,16711680,267386880,21368040,21368040,7.991431741153493,10683346,10684694,0,4625889,12085791,72.31942569508271,0,1.2786290785845589,0,0,0
layer,layer_55,3,16711680,267386880,21151040,21151040,7.9102759267769605,10576523,10574517,0,4679988,12031692,71.99570599724265,0,1.2656441482843137,0,0,0
layer,layer_56,3,16711680,267386880,21088459,21088459,7.886871263092639,10543412,10545047,0,4693662,12018018,71.91388298483456,0,1.2618994020948222,0,0,0
layer,layer_57,3,16711680,267386880,21082991,21082991,7.884826286166322,10541278,10541713,0,4686705,12024975,71.95551255170037,0,1.2615722057866114,0,0,0
layer,layer_58,3,16711680,267386880,21108887,21108887,7.894511129341874,10558744,10550143,0,4684184,12027496,71.97059780943627,0,1.2631217806946997,0,0,0
layer,layer_59,3,16711680,267386880,21127756,21127756,7.901567945293352,10565629,10562127,0,4681245,12030435,71.98818431181066,0,1.2642508712469362,0,0,0
layer,layer_60,3,16711680,267386880,21153157,21153157,7.911067663454542,10576200,10576957,0,4673022,12038658,72.0373894186581,0,1.2657708261527267,0,0,0
layer,layer_61,3,16711680,267386880,21181560,21181560,7.921690099379596,10594523,10587037,0,4665265,12046415,72.08380605660233,0,1.2674704159007353,0,0,0
layer,layer_62,3,16711680,267386880,21372221,21372221,7.992995393042471,10685080,10687141,0,4621742,12089938,72.34424067478554,0,1.2788792628867953,0,0,0
layer,layer_63,3,16711680,267386880,21809804,21809804,8.156647027707567,10907527,10902277,0,4513965,12197715,72.98916087431066,0,1.3050635244332107,0,0,0
layer,lm_head,1,79462400,1271398400,101469522,101469522,7.980938311704655,50755986,50713536,0,22093564,57368836,72.19620348743557,0,1.2769501298727448,0,0,0
tensor,lm_head,1,79462400,1271398400,101469522,101469522,7.980938311704655,50755986,50713536,0,22093564,57368836,72.19620348743557,0,1.2769501298727448,0,0,0
tensor,model.language_model.layers.0.mlp.down_proj,1,5570560,89128960,7047640,7047640,7.907239128561581,3523138,3524502,0,1555922,4014638,72.06884047564338,0,1.265158260569853,0,0,0
tensor,model.language_model.layers.0.mlp.gate_proj,1,5570560,89128960,6993925,6993925,7.846972521613626,3498942,3494983,0,1571626,3998934,71.78692985983456,0,1.2555156034581803,0,0,0
tensor,model.language_model.layers.0.mlp.up_proj,1,5570560,89128960,6996114,6996114,7.849428513470818,3496617,3499497,0,1569775,4000785,71.82015811695771,0,1.255908562155331,0,0,0
tensor,model.language_model.layers.1.mlp.down_proj,1,5570560,89128960,7086085,7086085,7.950373256907744,3543514,3542571,0,1547814,4022746,72.2143913717831,0,1.272059721105239,0,0,0
tensor,model.language_model.layers.1.mlp.gate_proj,1,5570560,89128960,7001074,7001074,7.854993483599494,3501730,3499344,0,1569302,4001258,71.8286491842831,0,1.256798957375919,0,0,0
tensor,model.language_model.layers.1.mlp.up_proj,1,5570560,89128960,7009790,7009790,7.864772572236903,3507919,3501871,0,1566763,4003797,71.8742280847886,0,1.2583636115579044,0,0,0
tensor,model.language_model.layers.10.mlp.down_proj,1,5570560,89128960,7049666,7049666,7.90951223934398,3527077,3522589,0,1559356,4011204,72.00719496783088,0,1.2655219582950368,0,0,0
tensor,model.language_model.layers.10.mlp.gate_proj,1,5570560,89128960,7021550,7021550,7.877966936896829,3511048,3510502,0,1564065,4006495,71.92266127642463,0,1.2604747099034928,0,0,0
tensor,model.language_model.layers.10.mlp.up_proj,1,5570560,89128960,7037544,7037544,7.895911721622243,3515532,3522012,0,1558556,4012004,72.02155618106617,0,1.2633458754595588,0,0,0
tensor,model.language_model.layers.11.mlp.down_proj,1,5570560,89128960,7021970,7021970,7.878438164206112,3511188,3510782,0,1565244,4005316,71.90149643841912,0,1.260550106272978,0,0,0
tensor,model.language_model.layers.11.mlp.gate_proj,1,5570560,89128960,6984878,6984878,7.8368220609777115,3489179,3495699,0,1572906,3997654,71.7639519186581,0,1.253891529756434,0,0,0
tensor,model.language_model.layers.11.mlp.up_proj,1,5570560,89128960,7006843,7006843,7.861466127283433,3504169,3502674,0,1564507,4006053,71.91472670611213,0,1.2578345803653492,0,0,0
